image_id,cluster_id,center_x,center_y,bbox_x,bbox_y,bbox_w,bbox_h,size_px,aspect_ratio,elongation,compactness,total_charge,peak_value,peak_snr,sigma_x,sigma_y,label,confidence,filter_status,true_label
539,170,2033.26,2943.0,2032,2943,5,1,5,5.0,1.0,1.0,96.0,50.0,50.0,1.516,0.0,unknown,0.0,valid,gamma
540,109,3327.89,1828.738,3326,1827,5,5,16,1.0,1.123,0.64,2324.0,255.0,255.0,0.872,0.894,unknown,0.0,valid,lithium
540,130,4884.358,2309.318,4883,2308,4,4,12,1.0,1.055,0.75,1556.0,255.0,255.0,0.759,0.748,unknown,0.0,valid,lithium
540,177,5308.046,3272.493,5307,3271,3,4,8,0.75,2.446,0.667,606.0,255.0,255.0,0.356,0.556,unknown,0.0,valid,gamma
541,19,3325.443,467.636,3324,467,3,3,4,1.0,32.397,0.444,88.0,48.0,48.0,0.672,0.771,unknown,0.0,valid,gamma
541,83,1339.63,1396.148,1339,1395,2,3,3,0.667,17.212,0.5,27.0,11.0,11.0,0.483,0.755,unknown,0.0,valid,artifact
542,54,3285.02,939.272,3285,939,2,2,3,1.0,10.485,0.75,360.0,255.0,255.0,0.138,0.445,unknown,0.0,valid,gamma
542,62,316.0,1011.677,316,1011,1,4,4,0.25,1.0,1.0,80.943,56.0,56.0,0.0,1.108,unknown,0.0,valid,gamma
542,95,4026.92,1685.057,4026,1684,3,3,6,1.0,1.046,0.667,662.0,255.0,255.0,0.559,0.549,unknown,0.0,valid,lithium
542,170,5002.044,3283.61,5001,3283,3,3,6,1.0,3.247,0.667,525.0,255.0,255.0,0.296,0.533,unknown,0.0,valid,gamma
543,2,4379.526,7.998,4378,7,4,3,12,1.333,1.467,1.0,2060.0,255.0,255.0,0.874,0.722,unknown,0.0,valid,lithium
544,28,4018.991,470.522,4017,469,5,4,16,1.25,1.257,0.8,2243.0,255.0,255.0,0.806,0.903,unknown,0.0,valid,lithium
545,67,189.228,1157.45,189,1156,2,3,4,0.667,3.09,0.667,157.768,79.0,78.946,0.42,0.59,unknown,0.0,valid,gamma
545,159,2160.312,3316.906,2160,3316,2,3,3,0.667,14.898,0.5,32.0,15.0,15.0,0.464,0.723,unknown,0.0,valid,gamma
546,116,407.143,2259.572,406,2259,3,2,4,1.5,3.072,0.667,42.0,12.0,12.0,0.833,0.495,unknown,0.0,valid,artifact
546,123,3838.048,2384.614,3836,2383,5,4,14,1.25,1.178,0.7,2094.0,255.0,255.0,0.794,0.852,unknown,0.0,valid,lithium
547,7,2771.874,93.329,2771,92,3,4,10,0.75,1.269,0.833,1613.0,255.0,255.0,0.711,0.757,unknown,0.0,valid,lithium
547,54,5376.522,924.261,5376,924,2,2,3,1.0,3.745,0.75,23.0,11.0,11.0,0.5,0.439,unknown,0.0,valid,artifact
547,69,3714.404,1142.96,3713,1142,4,3,11,1.333,1.229,0.917,1695.0,255.0,255.0,0.795,0.718,unknown,0.0,valid,lithium
547,83,3455.646,1364.052,3454,1363,4,3,12,1.333,1.366,1.0,1888.0,255.0,255.0,0.839,0.722,unknown,0.0,valid,gamma
547,113,4330.251,1961.975,4329,1961,3,3,5,1.0,3.389,0.556,402.0,255.0,255.0,0.483,0.263,unknown,0.0,valid,gamma
547,115,3214.267,2025.943,3213,2025,3,3,6,1.0,2.132,0.667,475.0,255.0,255.0,0.525,0.36,unknown,0.0,valid,gamma
547,144,3614.352,2649.927,3614,2649,2,2,4,1.0,3.362,1.0,423.0,255.0,255.0,0.478,0.261,unknown,0.0,valid,gamma
548,99,3622.473,1688.269,3621,1687,4,4,14,1.0,1.251,0.875,1695.0,255.0,255.0,0.834,0.75,unknown,0.0,valid,lithium
548,136,3914.096,2350.985,3913,2350,3,3,5,1.0,1.964,0.556,332.0,255.0,255.0,0.384,0.274,unknown,0.0,valid,gamma
548,144,968.125,2526.189,967,2525,3,3,6,1.0,1.057,0.667,803.0,255.0,255.0,0.566,0.57,unknown,0.0,valid,gamma
549,125,3064.004,2344.595,3062,2343,5,4,14,1.25,1.262,0.7,2045.0,255.0,255.0,0.758,0.852,unknown,0.0,valid,lithium
550,58,3984.501,985.021,3983,984,4,4,14,1.0,1.468,0.875,2128.0,255.0,255.0,0.893,0.737,unknown,0.0,valid,lithium
550,107,4386.236,1920.517,4386,1920,2,2,4,1.0,1.415,1.0,406.0,155.0,155.0,0.425,0.5,unknown,0.0,valid,gamma
552,5,2742.581,68.742,2742,68,2,2,3,1.0,3.097,0.75,31.0,13.0,13.0,0.493,0.438,unknown,0.0,valid,artifact
552,114,3335.497,1983.981,3334,1983,4,3,12,1.333,1.24,1.0,1892.0,255.0,255.0,0.817,0.734,unknown,0.0,valid,lithium
553,19,3863.031,458.412,3862,457,3,4,8,0.75,1.979,0.667,653.0,255.0,255.0,0.413,0.581,unknown,0.0,valid,gamma
553,157,3293.467,2780.12,3292,2779,4,4,14,1.0,1.315,0.875,2002.0,255.0,255.0,0.875,0.766,unknown,0.0,valid,lithium
554,96,4926.415,1598.119,4925,1597,4,3,11,1.333,1.271,0.917,1650.0,255.0,255.0,0.786,0.71,unknown,0.0,valid,lithium
555,115,3449.664,1977.171,3448,1976,4,3,8,1.333,1.074,0.667,1220.0,255.0,255.0,0.68,0.658,unknown,0.0,valid,lithium
556,153,1070.891,2902.478,1070,2900,3,6,6,0.5,47.737,0.333,46.0,12.0,12.0,0.667,1.625,unknown,0.0,valid,artifact
557,54,408.897,918.032,408,917,3,3,5,1.0,1.394,0.556,691.882,255.0,254.985,0.601,0.509,unknown,0.0,valid,artifact
558,93,4568.003,1754.016,4567,1753,3,3,5,1.0,1.003,0.556,309.0,255.0,255.0,0.296,0.295,unknown,0.0,valid,gamma
558,166,1875.514,3413.119,1875,3412,2,3,5,0.667,1.457,0.833,109.0,45.0,45.0,0.5,0.464,unknown,0.0,valid,artifact
559,91,3437.017,1499.408,3435,1498,5,4,14,1.25,1.29,0.7,2115.0,255.0,255.0,0.77,0.873,unknown,0.0,valid,lithium
559,144,1880.527,2437.837,1880,2437,2,2,4,1.0,1.923,1.0,129.0,54.0,54.0,0.499,0.369,unknown,0.0,valid,artifact
