image_id,cluster_id,center_x,center_y,size_px,total_charge,peak_value,peak_snr,elongation,compactness,predicted_label,p_lithium
51,731,1683.0,1490.0,1,23.286,244.0,22.604,1.0,1.0,artifact,0.013833333333333331
52,836,453.0,1679.0,1,55.615,244.0,8.617,1.0,1.0,artifact,0.013833333333333331
53,853,453.0,1679.0,1,54.615,243.0,8.462,1.0,1.0,gamma,0.013833333333333331
54,866,453.0,1679.0,1,53.615,242.0,8.307,1.0,1.0,gamma,0.013833333333333331
55,760,1683.0,1490.0,1,21.286,242.0,20.663,1.0,1.0,artifact,0.013833333333333331
55,855,453.0,1679.0,1,55.615,244.0,8.617,1.0,1.0,artifact,0.013833333333333331
56,765,1683.0,1490.0,1,21.286,242.0,20.663,1.0,1.0,artifact,0.013833333333333331
56,864,453.0,1679.0,1,55.615,244.0,8.617,1.0,1.0,artifact,0.013833333333333331
69,881,1683.0,1490.0,1,21.286,242.0,20.663,1.0,1.0,artifact,0.013833333333333331
72,910,1683.0,1490.0,1,21.286,242.0,20.663,1.0,1.0,artifact,0.013833333333333331
74,929,1683.0,1490.0,1,21.286,242.0,20.663,1.0,1.0,artifact,0.013833333333333331
77,934,1683.0,1490.0,1,21.286,242.0,20.663,1.0,1.0,artifact,0.013833333333333331
79,951,1683.0,1490.0,1,22.286,243.0,21.633,1.0,1.0,artifact,0.013833333333333331
80,947,1683.0,1490.0,1,21.286,242.0,20.663,1.0,1.0,artifact,0.013833333333333331
81,954,1683.0,1490.0,1,22.286,243.0,21.633,1.0,1.0,artifact,0.013833333333333331
84,981,1683.0,1490.0,1,23.286,244.0,22.604,1.0,1.0,artifact,0.013833333333333331
92,1000,1683.0,1490.0,1,23.286,244.0,22.604,1.0,1.0,artifact,0.013833333333333331
93,1004,1683.0,1490.0,1,22.286,243.0,21.633,1.0,1.0,artifact,0.013833333333333331
94,1020,1683.0,1490.0,1,24.286,245.0,23.575,1.0,1.0,artifact,0.013833333333333331
97,1038,1683.0,1490.0,1,23.286,244.0,22.604,1.0,1.0,artifact,0.013833333333333331
99,1047,1683.0,1490.0,1,21.286,242.0,20.663,1.0,1.0,artifact,0.013833333333333331
100,1051,1683.0,1490.0,1,21.286,242.0,20.663,1.0,1.0,artifact,0.013833333333333331
101,1053,1683.0,1490.0,1,22.286,243.0,21.633,1.0,1.0,artifact,0.013833333333333331
102,1052,1683.0,1490.0,1,21.286,242.0,20.663,1.0,1.0,artifact,0.013833333333333331
104,1071,1683.0,1490.0,1,21.286,242.0,20.663,1.0,1.0,artifact,0.013833333333333331
106,1080,1683.0,1490.0,1,21.286,242.0,20.663,1.0,1.0,artifact,0.013833333333333331
108,1084,1683.0,1490.0,1,21.286,242.0,20.663,1.0,1.0,artifact,0.013833333333333331
109,1087,1683.0,1490.0,1,25.286,246.0,24.545,1.0,1.0,gamma,0.013833333333333331
110,1091,1683.0,1490.0,1,21.286,242.0,20.663,1.0,1.0,artifact,0.013833333333333331
111,1098,1683.0,1490.0,1,21.286,242.0,20.663,1.0,1.0,artifact,0.013833333333333331
114,1113,1683.0,1490.0,1,22.286,243.0,21.633,1.0,1.0,artifact,0.013833333333333331
116,1105,1683.0,1490.0,1,22.286,243.0,21.633,1.0,1.0,artifact,0.013833333333333331
117,1123,1683.0,1490.0,1,24.286,245.0,23.575,1.0,1.0,artifact,0.013833333333333331
118,1118,1683.0,1490.0,1,21.286,242.0,20.663,1.0,1.0,artifact,0.013833333333333331
119,1119,1683.0,1490.0,1,21.286,242.0,20.663,1.0,1.0,artifact,0.013833333333333331
120,1113,1683.0,1490.0,1,21.286,242.0,20.663,1.0,1.0,artifact,0.013833333333333331
121,1125,1683.0,1490.0,1,21.286,242.0,20.663,1.0,1.0,artifact,0.013833333333333331
122,1136,1683.0,1490.0,1,24.286,245.0,23.575,1.0,1.0,artifact,0.013833333333333331
124,1135,1683.0,1490.0,1,22.286,243.0,21.633,1.0,1.0,artifact,0.013833333333333331
125,1140,1683.0,1490.0,1,21.286,242.0,20.663,1.0,1.0,artifact,0.013833333333333331
